Date,Date,Average_close_price,Average_open_price,Highest_close_price,Highest_high,Highest_low,Lowest_high,Lowest_low,Lowest_open_price
2013,August,70.41651775,70.3141074375,72.534286,73.391426,72.0,65.779999,64.807144,65.26571700000001
2013,December,79.95108761904763,80.09258557142856,81.441429,82.16285699999999,80.915718,78.571426,76.971428,77.918571
2013,November,74.94521405,74.74542855,79.438568,79.761429,78.25856800000001,74.345711,73.197144,73.511429
2013,October,72.10639752173913,72.02124256521738,75.987144,77.035713,75.01571700000001,69.228569,68.325714,68.349998
2013,September,68.59778555000001,68.9675,72.309998,72.559998,71.925713,65.672859,63.888573,63.994285999999995
2014,April,77.29632714285715,77.15455847619047,84.870003,85.632858,84.257141,74.441429,73.04714200000001,74.007141
2014,August,98.43666657142859,98.14952428571429,102.5,102.900002,102.199997,94.82,93.279999,94.260002
2014,December,112.41136418181817,112.72181877272727,115.93,119.25,115.290001,109.839996,106.260002,106.370003
2014,February,75.22571410526314,75.1030072631579,77.998573,78.74143199999999,77.944283,72.53286,71.328575,71.80143000000001
2014,January,76.77795923809524,76.87156561904762,79.622856,80.028572,78.860001,71.647141,70.507141,70.739998
2014,July,95.62590850000002,95.72909131818182,99.019997,99.440002,98.25,94.059998,92.57,93.519997
2014,June,91.88544257142857,91.91265252380951,94.25,95.050003,93.57,90.690002,88.928574,89.779999
2014,March,76.17346838095237,76.22761871428571,77.855713,78.428574,77.084282,75.709999,74.687141,74.774284
2014,May,86.17081742857143,85.90027176190476,90.76857,92.024284,89.842857,83.75,82.904289,83.505714
2014,November,113.28526263157895,112.90947357894738,119.0,119.75,118.050003,108.790001,107.720001,108.220001
2014,October,101.69956573913043,101.64000000000001,108.0,108.040001,107.209999,97.720001,95.18,95.550003
2014,September,100.54857204761905,100.61809580952384,103.300003,103.739998,102.720001,99.309998,96.139999,98.010002
2015,April,127.29142757142857,127.53523871428573,132.649994,134.53999299999998,131.149994,125.120003,123.099998,124.470001
2015,August,113.39476233333332,113.4395236190476,119.720001,122.57,117.519997,108.800003,92.0,94.870003
2015,December,111.72681809090909,112.29590918181822,119.029999,119.860001,117.809998,107.029999,104.82,106.959999
2015,February,125.43210478947367,125.02368289473684,133.0,133.600006,131.169998,119.089996,116.08000200000001,118.050003
2015,January,110.64150084999999,111.1639995,118.900002,120.0,116.849998,107.43,104.629997,106.540001
2015,July,125.33545481818179,125.45045463636365,132.070007,132.970001,130.699997,122.57,119.220001,121.940002
2015,June,127.80681745454544,128.01363581818183,130.53999299999998,131.389999,130.050003,126.120003,124.480003,125.459999
2015,March,125.97090836363635,126.46636450000001,129.360001,130.279999,128.320007,124.699997,121.629997,122.309998
2015,May,128.76149974999998,128.70750080000002,132.53999299999998,132.970001,131.399994,126.08000200000001,123.360001,124.769997
2015,November,118.16249965000002,118.21799965,122.57,123.82,121.620003,114.239998,111.0,111.379997
2015,October,113.35999999999999,112.92454527272729,120.529999,121.220001,119.449997,109.620003,107.309998,108.010002
2015,September,112.7976188095238,113.012381,116.410004,116.889999,115.440002,110.449997,107.360001,108.970001
2016,April,106.73904780952381,106.78571461904762,112.099998,112.389999,111.33000200000001,94.720001,92.510002,93.989998
2016,August,107.66521813043478,107.46304360869563,109.480003,110.230003,109.209999,105.839996,104.0,104.410004
2016,December,114.3357144761905,113.99571376190475,117.260002,118.019997,116.779999,110.029999,108.25,109.16999799999999
2016,February,95.7464999,95.69599955,98.120003,98.889999,96.650002,94.5,92.589996,93.129997
2016,January,98.42894615789476,98.70631573684213,105.349998,105.849998,102.410004,94.519997,92.389999,93.790001
2016,July,98.55649979999998,98.45099945,104.339996,104.550003,103.68,95.400002,94.370003,94.599998
2016,June,96.62227277272729,96.5886365909091,99.650002,101.889999,98.959999,93.050003,91.5,92.900002
2016,March,104.26727295454545,103.81681863636364,109.559998,110.41999799999999,108.879997,100.769997,97.41999799999999,97.650002
2016,May,94.97476157142857,94.95857190476192,100.410004,100.730003,99.25,91.66999799999999,89.470001,90.0
2016,November,110.15428528571428,110.0823804285714,111.800003,113.769997,111.400002,107.68,104.08000200000001,106.57
2016,October,115.70714309523811,115.74380866666665,118.25,118.690002,117.449997,113.050003,112.279999,112.709999
2016,September,110.85714247619046,110.67333395238094,115.57,116.18,114.040001,105.720001,102.529999,102.650002
2017,April,142.88684157894735,143.03000115789476,144.770004,145.46000700000002,143.869995,141.880005,140.059998,141.220001
2017,August,159.02130595652173,158.9469577826087,164.0,164.520004,163.479996,150.220001,148.41000400000001,149.100006
2017,December,171.89150005,171.7219994,176.419998,177.199997,174.860001,170.199997,166.46000700000002,167.5
2017,February,133.71420931578945,133.23473763157895,137.110001,137.479996,136.699997,129.190002,127.010002,127.029999
2017,January,119.56999975000001,119.0934994,121.949997,122.440002,121.599998,116.33000200000001,114.760002,115.800003
2017,July,148.29949950000002,148.09650034999999,153.46000700000002,153.990005,153.059998,143.5,142.41000400000001,142.899994
2017,June,147.83136195454546,148.21500113636364,155.449997,155.979996,154.479996,144.479996,142.199997,143.320007
2017,March,140.61782630434783,140.362174,144.119995,144.5,143.5,138.78999299999998,137.050003,137.889999
2017,May,152.2277264090909,151.96590836363634,156.100006,156.649994,155.050003,147.139999,144.270004,145.100006
2017,November,172.40619109523809,172.49047566666664,176.240005,176.240005,174.649994,168.5,165.279999,166.600006
2017,October,157.81727254545453,157.35590718181814,169.03999299999998,169.649994,166.940002,153.860001,152.46000700000002,153.630005
2017,September,157.60849994999998,158.10900039999999,164.050003,164.940002,163.630005,151.830002,149.16000400000001,149.990005
2018,April,169.8342865238095,169.76523847619052,178.240005,178.940002,176.880005,164.330002,160.630005,162.130005
2018,August,207.02714528571428,205.34143071428574,209.070007,209.77999900000003,207.199997,201.759995,197.309998,199.130005
2018,February,167.6389472631579,167.2763157368421,178.970001,180.619995,178.16000400000001,157.889999,150.240005,154.830002
2018,January,174.0052374761905,174.0214277619047,179.259995,180.100006,178.25,167.369995,164.699997,165.529999
2018,July,190.31142904761901,190.1961902857143,194.820007,195.96000700000002,193.610001,186.41000400000001,183.419998,183.820007
2018,June,188.62142876190478,188.720477,193.979996,194.199997,192.360001,184.919998,180.729996,182.990005
2018,March,174.49619171428571,175.04714304761904,181.720001,183.5,180.21000700000002,169.919998,164.940002,167.25
2018,May,185.5368180909091,184.9563653636364,190.03999299999998,190.369995,187.860001,169.199997,165.270004,166.41000400000001
